ID;Exist in 500k;Time in Array 500;Time in ListFirst 500;Time in list last 500;Exist in 1M;Time in Array 1M;Time in ListFirst 1M;Time in list last 1M;Exist in 3M;Time in Array 3M;Time in ListFirst 3M;Time in list last 3M 
67734766;false;0;0;0;false;0;38;26;false;76;200;162
24044547;false;0;0;0;false;0;31;32;false;59;170;154
87784079;false;0;0;0;false;0;31;31;false;44;184;167
14243680;false;0;0;0;false;0;38;37;false;47;250;150
84152827;false;0;0;0;false;0;31;32;true;37;75;99
36639489;false;0;0;0;false;0;31;31;false;47;158;165
21376372;false;0;0;0;false;0;36;31;false;58;152;157
91300293;false;0;0;0;false;0;29;22;false;50;152;158
70373671;false;0;0;0;false;0;30;31;false;51;154;158
21894086;false;0;0;0;false;0;37;16;false;50;178;149
14774674;false;0;0;0;false;0;30;38;false;50;160;162
37110881;false;0;0;0;true;0;0;31;false;50;0;157
24313537;false;0;0;0;false;0;33;31;false;51;152;158
59767302;false;0;0;0;true;0;0;16;false;51;0;157
71531691;false;0;0;0;true;0;1;38;false;50;1;145
65493659;false;0;0;0;false;0;33;15;false;50;152;166
2941148;false;0;0;0;false;0;30;32;false;51;154;154
88325629;false;0;0;0;false;0;31;37;false;50;152;157
96724497;false;0;0;0;true;0;1;29;false;50;1;158
96101907;false;0;0;0;false;0;31;28;false;51;171;158
44575587;false;0;0;0;false;0;31;29;false;50;179;157
42938533;false;0;0;0;false;0;32;29;false;50;154;158
84288896;false;0;0;0;true;0;0;28;false;51;0;158
52791849;false;0;0;0;true;0;0;28;false;50;0;157
96512247;false;0;0;0;false;0;41;29;false;50;152;158
8363023;false;0;0;0;true;0;0;28;false;50;0;161
11050395;false;0;0;0;false;0;37;29;false;50;154;157
1211740;false;0;0;0;false;0;28;28;false;50;152;157
22491589;false;0;0;0;true;0;0;28;false;50;1;159
76075826;false;0;0;0;true;0;1;29;false;50;0;156
77537791;false;0;0;0;true;0;0;28;false;51;0;157
41742992;false;0;0;0;false;0;28;28;false;50;162;158
64603176;false;0;0;0;false;0;28;29;false;52;167;158
32583096;false;0;0;0;false;0;29;28;false;51;152;157
2270110;false;0;0;0;false;0;28;28;false;50;153;158
90000100;false;0;0;0;true;0;0;28;false;50;0;157
23007747;false;0;0;0;false;0;28;28;false;50;152;157
98892877;false;0;0;0;false;0;28;28;false;50;152;159
62887011;false;0;0;0;false;0;28;28;false;50;152;157
20041425;false;0;0;0;false;0;28;28;false;50;176;157
44433755;false;0;0;0;false;0;28;29;false;50;154;158
11406316;false;0;0;0;false;0;28;27;false;50;153;159
14484059;false;0;0;0;true;0;1;28;false;50;0;157
73621328;false;0;0;0;true;0;0;27;false;50;0;156
69277154;false;0;0;0;false;0;28;28;false;50;152;158
37482486;false;0;0;0;false;0;29;28;false;50;152;157
94998285;false;0;0;0;false;0;28;28;false;50;152;158
52923784;false;0;0;0;true;0;1;27;false;50;0;158
61037558;false;0;0;0;false;0;28;28;false;50;166;157
38607794;false;0;0;0;true;0;0;27;false;50;1;158
41534713;false;0;0;0;false;0;29;28;false;50;164;158
54896489;false;0;0;0;false;0;29;28;false;50;153;157
93691811;false;0;0;0;false;0;32;28;false;52;151;157
54554529;false;0;0;0;false;0;31;28;false;51;153;157
96046739;false;0;0;0;true;0;0;27;false;50;1;158
9001355;false;0;0;0;false;0;29;28;false;50;152;158
27515182;false;0;0;0;false;0;28;28;false;51;156;157
57325337;false;0;0;0;true;0;0;27;false;50;0;157
54409958;false;0;0;0;true;0;0;28;false;50;0;157
80298633;false;0;0;0;false;0;29;28;false;50;174;158
62995603;false;0;0;0;false;0;28;27;false;50;153;158
68640475;false;0;0;0;false;0;29;28;false;50;152;157
75305054;false;0;0;0;false;0;28;28;false;51;152;157
37757110;false;0;0;0;false;0;28;29;false;50;153;158
88846731;false;0;0;0;false;0;28;27;false;50;152;157
75028843;false;0;0;0;false;0;28;28;false;51;158;158
4697460;false;0;0;0;true;0;1;27;false;50;1;156
83380383;false;0;0;0;false;0;28;28;false;50;166;157
56047954;false;0;0;0;false;0;28;28;false;50;152;158
23593737;false;0;0;0;false;0;28;28;false;50;152;157
76125542;false;0;0;0;false;0;28;28;false;50;152;157
83668143;false;0;0;0;false;0;28;28;false;50;153;158
20770535;false;0;0;0;false;0;28;28;false;52;158;157
57435841;false;0;0;0;false;0;28;28;false;51;144;158
43770222;false;0;0;0;false;0;28;28;false;50;167;158
94037549;false;0;0;0;false;0;28;28;false;50;153;157
90596472;false;0;0;0;false;0;28;28;false;50;153;157
64676373;false;0;0;0;false;0;28;27;false;50;153;158
3592352;false;0;0;0;false;0;28;28;false;50;154;157
5806189;false;0;0;0;false;0;28;28;false;50;169;157
34028499;false;0;0;0;false;0;29;28;false;51;154;157
93602639;false;0;0;0;false;0;29;28;false;50;153;157
98657281;false;0;0;0;true;0;0;27;false;50;0;158
35680151;false;0;0;0;true;0;0;27;false;50;0;158
98792004;false;0;0;0;false;0;29;29;false;50;153;156
23018259;false;0;0;0;true;0;0;28;false;52;1;157
83153666;false;0;0;0;true;0;0;28;false;51;0;158
74657386;false;0;0;0;false;0;28;28;false;50;153;157
97625452;false;0;0;0;false;0;29;28;false;50;151;158
35287247;false;0;0;0;false;0;28;28;false;50;158;157
43194207;false;0;0;0;true;0;0;28;false;49;0;157
71930533;false;0;0;0;false;0;29;27;false;51;158;158
75861310;false;0;0;0;false;0;28;28;false;52;154;156
36165721;false;0;0;0;false;0;28;29;false;50;153;157
81729551;false;0;0;0;true;0;0;28;false;51;0;157
68339966;false;0;0;0;false;0;28;28;false;50;153;161
15768619;false;0;0;0;true;0;0;27;false;50;0;157
32579182;false;0;0;0;false;0;29;28;false;51;154;142
12361969;false;0;0;0;true;0;0;28;false;50;0;169
57413248;false;0;0;0;false;0;36;27;false;50;152;158
7091123;false;0;0;0;true;0;2;27;false;51;0;157
83952782;false;0;0;0;false;0;38;28;false;50;165;158
74474376;false;0;0;0;false;0;29;28;false;59;152;158
58327634;false;0;0;0;true;0;0;27;false;50;0;157
57834543;false;0;0;0;false;0;28;28;false;51;153;157
73705280;false;0;0;0;false;0;29;27;false;50;152;158
66092206;false;0;0;0;false;0;31;29;false;50;153;158
18354001;false;0;0;0;true;0;0;27;false;50;0;157
89087971;false;0;0;0;false;0;28;28;false;51;151;157
1583095;false;0;0;0;false;0;28;28;false;50;163;158
9888139;false;0;0;0;false;0;29;28;false;50;156;158
22227927;false;0;0;0;false;0;28;28;false;51;152;159
41916168;false;0;0;0;false;0;29;29;false;51;152;157
93314537;false;0;0;0;true;0;0;27;false;50;0;157
69613655;false;0;0;0;false;0;28;28;false;51;153;155
84438168;false;0;0;0;false;0;28;28;false;50;152;152
53349009;false;0;0;0;false;0;29;28;false;51;153;158
44133835;false;0;0;0;false;0;28;27;false;50;160;159
19168101;false;0;0;0;false;0;29;28;false;50;153;157
37731244;false;0;0;0;false;0;28;28;false;50;151;157
4713384;false;0;0;0;false;0;28;28;false;50;152;158
45568858;false;0;0;0;false;0;29;28;false;51;153;158
29283700;false;0;0;0;false;0;28;27;false;51;151;157
80949483;false;0;0;0;false;0;28;29;false;50;163;159
84069438;false;0;0;0;false;0;29;28;false;50;152;158
12665508;false;0;0;0;false;0;28;15;false;50;152;158
61913262;false;0;0;0;true;0;1;31;false;50;0;169
42646082;false;0;0;0;false;0;28;31;false;50;152;167
85177074;false;0;0;0;false;0;29;35;false;50;153;167
85163868;false;0;0;0;true;0;0;19;false;50;0;169
76839890;false;0;0;0;false;0;29;31;false;50;154;169
95153301;false;0;0;0;false;0;28;31;false;51;153;167
98338935;false;0;0;0;true;0;0;29;false;50;0;152
8830539;false;0;0;0;false;0;29;28;false;50;155;165
54939790;false;0;0;0;true;0;0;28;false;50;0;157
77253590;false;0;0;0;false;0;28;28;false;50;152;160
42829090;false;0;0;0;true;0;0;27;false;50;1;157
69691079;false;0;0;0;false;0;29;28;false;50;151;161
84091581;false;0;0;0;false;0;28;28;true;22;92;62
76475723;false;0;0;0;true;0;1;28;false;50;0;159
82857313;false;0;0;0;false;0;28;27;false;50;153;157
27546597;false;0;0;0;false;0;28;28;false;51;152;158
72649937;false;0;0;0;false;0;29;28;false;50;155;159
59412451;false;0;0;0;false;0;33;27;false;52;161;158
72851783;false;0;0;0;false;0;29;28;false;54;152;157
62767517;false;0;0;0;true;0;0;28;false;50;0;156
